2021:11:01 12:46:08.137 INFO  --- [http-nio-19700-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet' 
2021:11:01 12:46:08.138 INFO  --- [http-nio-19700-exec-1] o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet' 
2021:11:01 12:46:08.140 INFO  --- [http-nio-19700-exec-1] o.s.web.servlet.DispatcherServlet : Completed initialization in 1 ms 
2021:11:01 12:47:28.418 INFO  --- [restartedMain] c.j.webserver.WebserverApplication : Starting WebserverApplication using Java 11.0.12 on DESKTOP-TMGIIUV with PID 19372 (C:\Users\cjy\Downloads\2021-10-24\webserver\build\classes\java\main started by cjy in C:\Users\cjy\Documents\springboot_gradle) 
2021:11:01 12:47:28.421 INFO  --- [restartedMain] c.j.webserver.WebserverApplication : No active profile set, falling back to default profiles: default 
2021:11:01 12:47:28.493 INFO  --- [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2021:11:01 12:47:28.494 INFO  --- [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2021:11:01 12:47:29.301 INFO  --- [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2021:11:01 12:47:29.428 INFO  --- [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 114 ms. Found 3 JPA repository interfaces. 
2021:11:01 12:47:30.435 INFO  --- [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 19700 (http) 
2021:11:01 12:47:30.452 INFO  --- [restartedMain] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2021:11:01 12:47:30.453 INFO  --- [restartedMain] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.54] 
2021:11:01 12:47:30.694 INFO  --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2021:11:01 12:47:30.695 INFO  --- [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2200 ms 
2021:11:01 12:47:30.765 INFO  --- [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting... 
2021:11:01 12:47:30.892 INFO  --- [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed. 
2021:11:01 12:47:30.899 INFO  --- [restartedMain] o.s.b.a.h.H2ConsoleAutoConfiguration : H2 console available at '/h2-console'. Database available at 'jdbc:postgresql://localhost:5432/pg_spring' 
2021:11:01 12:47:31.030 INFO  --- [restartedMain] o.h.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default] 
2021:11:01 12:47:31.090 INFO  --- [restartedMain] org.hibernate.Version : HHH000412: Hibernate ORM core version 5.4.32.Final 
2021:11:01 12:47:31.209 INFO  --- [restartedMain] o.h.annotations.common.Version : HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
2021:11:01 12:47:31.317 INFO  --- [restartedMain] org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect 
2021:11:01 12:47:31.408 INFO  --- [restartedMain] o.h.e.b.internal.EnversServiceImpl : Envers integration enabled? : true 
2021:11:01 12:47:32.672 INFO  --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2021:11:01 12:47:32.682 INFO  --- [restartedMain] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default' 
2021:11:01 12:47:33.099 WARN  --- [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2021:11:01 12:47:33.282 INFO  --- [restartedMain] o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: URL [file:D:/webapp/dist/index.html] 
2021:11:01 12:47:33.431 INFO  --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer : LiveReload server is running on port 35729 
2021:11:01 12:47:33.468 INFO  --- [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 19700 (http) with context path '' 
2021:11:01 12:47:33.481 INFO  --- [restartedMain] c.j.webserver.WebserverApplication : Started WebserverApplication in 5.606 seconds (JVM running for 7.24) 
2021:11:01 12:47:34.782 INFO  --- [http-nio-19700-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet' 
2021:11:01 12:47:34.783 INFO  --- [http-nio-19700-exec-1] o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet' 
2021:11:01 12:47:34.785 INFO  --- [http-nio-19700-exec-1] o.s.web.servlet.DispatcherServlet : Completed initialization in 1 ms 
